Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,109.685,-75.25,-90,bottom
C4,10uF,C_0805_2012Metric,109.185,-69.25,0,bottom
C22,0.1uF,C_0805_2012Metric,109.185,-71.25,0,bottom
C2,10uF,C_0805_2012Metric,109.66,-59.85,-90,top
C3,0.1uF,C_0805_2012Metric,107.65,-59.85,-90,top
C5,10uF,C_0805_2012Metric,99,-35.5,180,top
C6,0.1uF,C_0805_2012Metric,99,-39.5,180,top
C7,0.1uF,C_0805_2012Metric,102.685,-78.8,-90,top
C8,1uF,C_0805_2012Metric,99,-41.5,180,top
C9,1nF,C_0805_2012Metric,104.685,-82.25,90,top
C10,10uF,C_0805_2012Metric,107.185,-68.2,90,top
C11,10uF,C_0805_2012Metric,105.185,-68.25,90,top
C12,1uF,C_0805_2012Metric,109.185,-68.2,90,top
C13,47nF,C_0805_2012Metric,117.064,-59.5,0,top
C14,47nF,C_0805_2012Metric,117.064,-61.5396,0,top
C15,10pF,C_0805_2012Metric,111.685,-79.75,0,top
C16,2nF,C_0805_2012Metric,109.735,-77.75,180,top
C17,10pF,C_0805_2012Metric,107.735,-79.75,180,top
C18,47pF,C_0805_2012Metric,110.685,-74.25,-90,top
C19,10pF,C_0805_2012Metric,112.685,-72.25,90,top
C20,10pF,C_0805_2012Metric,112.685,-76.25,90,top
C21,10uF,C_0805_2012Metric,102.235,-70.5,180,top
C23,0.1uF,C_0805_2012Metric,102.235,-72.5,180,top
C24,10uF,C_0805_2012Metric,99,-37.5,180,top
C25,10uF,C_0805_2012Metric,104.685,-78.75,-90,top
J1,Conn_01x05_Pin,PinHeader_1x05_P2.54mm_Vertical,121.528,-62.948,0,top
J3,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4085,110.7,-93.975,0,top
J6,Conn_01x16_Pin,PinHeader_1x16_P2.54mm_Vertical,131.5,-50.42,0,top
J8,Conn_01x16_Pin,PinHeader_1x16_P2.54mm_Vertical,96,-88.12,180,top
R1,5.1k,R_0805_2012Metric,98.5875,-43.5,0,top
R2,324k,R_0805_2012Metric,108.685,-65.25,0,top
R3,200k,R_0805_2012Metric,117.064,-65.5288,0,top
R4,200k,R_0805_2012Metric,117.064,-69.488,0,top
R5,200,R_0805_2012Metric,117.064,-67.5084,0,top
R6,200,R_0805_2012Metric,117.064,-63.5492,180,top
R7,100k,R_0805_2012Metric,112.3125,-88.375,-90,top
R8,100k,R_0805_2012Metric,119.225,-88.4625,-90,top
R15,5.1k,R_0805_2012Metric,120.5,-95.5,90,top
R16,5.1k,R_0805_2012Metric,107,-95.5875,-90,top
SW5,SW_Push,SW_Push_1P1T_NO_CK_KSC6xxJ,100.5,-95,0,top
SW6,SW_Push,SW_Push_1P1T_NO_CK_KSC6xxJ,127,-95,0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,113.675,-41,0,top
U2,MAX30001CWV_T,BGA30N50P5X6_274X292X69N,107,-74.25,-90,top
U3,AP2112K-3.3,SOT-23-5,115.8625,-88.55,0,top
U4,AP2112K-1.8,SOT-23-5,122.3625,-88.55,0,top
Y1,OK322532.768KJBA4SL,Crystal_SMD_3225-4Pin_3.2x2.5mm,112.5,-58.9,-90,top